date,equity,daily_return,cumulative_return
2024-02-21,1036407.7,0.00934445006377502,0.03640770000000004
2024-02-22,1037356.7,0.0009156628226517422,0.03735669999999991
2024-02-23,1040128.7,0.0026721763111955607,0.040128699999999906
2024-02-26,1031137.7,-0.008644122597520865,0.031137699999999935
2024-02-27,1029271.7,-0.001809651611031194,0.02927170000000001
2024-02-28,1029610.7,0.0003293590992543563,0.02961069999999988
2024-02-29,1029017.7,-0.0005759458405006863,0.029017700000000035
2024-03-01,1027808.7,-0.0011749069039337224,0.02780870000000002
2024-03-04,1027874.7,6.421428423402138e-05,0.02787469999999992
2024-03-05,1037373.7,0.009241398781388433,0.03737369999999984
2024-03-06,1033698.7,-0.003542599932888216,0.03369869999999997
2024-03-07,1034783.7,0.0010496288715464187,0.03478369999999997
2024-03-08,1031584.7,-0.0030914673279063055,0.03158470000000002
2024-03-11,1031324.7,-0.00025203941082104067,0.03132469999999987
2024-03-12,1028684.7,-0.0025598145763405067,0.028684699999999896
2024-03-13,1026254.7,-0.002362239858335601,0.026254699999999964
2024-03-14,1032614.7,0.006197291958809056,0.032614699999999885
2024-03-15,1033610.7,0.0009645417598645458,0.03361069999999988
2024-03-18,1034386.7,0.000750766221750607,0.03438669999999999
2024-03-19,1026996.7,-0.0071443300653421015,0.026996699999999985
2024-03-20,1027580.7,0.0005686483705351731,0.027580699999999903
2024-03-21,1025664.7,-0.0018645737507526174,0.025664699999999874
2024-03-22,1023830.7,-0.0017881087259803325,0.023830699999999982
2024-03-25,1024252.7,0.0004121775211468068,0.024252699999999905
2024-03-26,1024097.7,-0.00015132984272338263,0.0240977
2024-03-27,1022445.7,-0.0016131273412683185,0.022445700000000013
2024-03-28,1023029.7,0.0005711794768172041,0.02302969999999993
2024-03-29,1022907.7,-0.00011925362479701226,0.022907699999999975
2024-04-01,1024519.7,0.001575899761043934,0.024519699999999922
2024-04-02,1020750.7,-0.0036787970011704025,0.02075070000000001
2024-04-03,1015734.7,-0.004914030428781484,0.01573469999999988
2024-04-08,1024953.7,0.0090761888906621,0.024953699999999968
2024-04-09,1023544.7,-0.001374696242376607,0.023544699999999974
2024-04-10,1027390.7,0.0037575300814903347,0.02739069999999999
2024-04-11,1024801.7,-0.0025199760908873325,0.024801700000000038
2024-04-12,1019977.7,-0.004707252144488051,0.019977699999999876
2024-04-15,1026320.7,0.006218763410219655,0.026320699999999864
2024-04-16,1026432.7,0.00010912768299421419,0.026432699999999976
2024-04-17,1031347.7,0.0047884288955330435,0.03134769999999998
2024-04-18,1033698.7,0.002279541613366666,0.03369869999999997
2024-04-19,1032863.7,-0.0008077789011440181,0.03286370000000005
2024-04-22,1030239.7,-0.0025405094592829626,0.03023969999999987
2024-04-23,1028637.7,-0.0015549779337759942,0.028637699999999988
2024-04-24,1028189.7,-0.00043552749427713957,0.028189699999999984
2024-04-25,1034295.7,0.0059385928491600334,0.03429569999999993
2024-04-26,1036633.7,0.0022604754133658295,0.03663369999999988
2024-04-29,1040559.7,0.0037872587009278205,0.040559699999999976
2024-04-30,1040874.7,0.0003027216987165657,0.04087470000000004
2024-05-06,1041205.7,0.0003180017729319389,0.0412056999999999
2024-05-07,1040466.7,-0.0007097540860561943,0.040466699999999856
2024-05-08,1038592.7,-0.0018011148266446203,0.038592699999999924
2024-05-09,1040747.7,0.002074923114710897,0.04074770000000005
2024-05-10,1046645.7,0.005667079542909391,0.04664570000000001
2024-05-13,1049496.7,0.0027239399158664676,0.04949669999999995
2024-05-14,1046461.7,-0.0028918623564990727,0.04646170000000005
2024-05-15,1043666.7,-0.002670905203697374,0.04366669999999995
2024-05-16,1051734.7,0.007730437312985075,0.05173469999999991
2024-05-17,1059218.7,0.007115862964300788,0.05921869999999996
2024-05-20,1061191.7,0.0018626937005549469,0.06119169999999996
2024-05-21,1059688.7,-0.0014163322234804513,0.05968869999999993
2024-05-22,1059358.7,-0.00031141221001979166,0.059358699999999986
2024-05-23,1053756.7,-0.005288104963880507,0.05375669999999988
2024-05-24,1047207.2,-0.0062153815961502315,0.047207199999999894
2024-05-27,1050145.2,0.0028055574866177393,0.0501452
2024-05-28,1049972.2,-0.00016473912369451387,0.04997220000000002
2024-05-29,1047866.2,-0.0020057673907937753,0.04786619999999986
2024-05-30,1045991.2,-0.0017893505869356222,0.04599120000000001
2024-05-31,1042591.2,-0.0032505053579800674,0.04259119999999994
2024-06-03,1046361.2,0.003615990620292978,0.04636119999999999
2024-06-04,1047665.2,0.001246223579391132,0.04766519999999996
2024-06-05,1047264.2,-0.0003827558651370686,0.04726419999999987
2024-06-06,1043129.5,-0.003948096382937518,0.04312950000000004
2024-06-07,1042133.5,-0.000954819128401603,0.042133500000000046
2024-06-11,1043312.5,0.0011313329818108716,0.04331250000000009
2024-06-12,1042346.5,-0.0009258970826094771,0.042346500000000065
2024-06-13,1042863.55,0.0004960442616731063,0.042863550000000084
2024-06-14,1040688.55,-0.0020856036247503327,0.040688550000000046
2024-06-17,1038292.55,-0.0023023218618096644,0.03829254999999998
2024-06-18,1039402.55,0.001069062857091674,0.03940255000000015
2024-06-19,1039239.55,-0.00015682085829017833,0.03923955000000001
2024-06-20,1038915.55,-0.00031176642574851966,0.03891555000000002
2024-06-21,1038457.55,-0.0004408443015411599,0.03845754999999995
2024-06-24,1041059.55,0.0025056392531403906,0.041059549999999945
2024-06-25,1036553.55,-0.004328282661640249,0.036553550000000046
2024-06-26,1039192.55,0.002545936965822943,0.039192550000000104
2024-06-27,1042515.55,0.0031976749640862993,0.04251555000000007
2024-06-28,1046317.55,0.0036469479999602884,0.04631755000000015
2024-07-01,1050258.55,0.003766542958206139,0.050258550000000124
2024-07-02,1048676.55,-0.0015062957592680392,0.04867655000000015
2024-07-03,1044536.55,-0.003947833104497283,0.04453655000000012
2024-07-04,1044319.55,-0.00020774763697833262,0.044319549999999985
2024-07-05,1040396.55,-0.00375651303281644,0.04039655000000009
2024-07-08,1044073.55,0.0035342293282306634,0.04407355000000002
2024-07-09,1048640.55,0.0043742129086595475,0.048640550000000005
2024-07-10,1051864.55,0.003074456733529902,0.05186455000000012
2024-07-11,1049795.5,-0.001967030831108479,0.049795500000000104
2024-07-12,1051020.5,0.0011668939331517425,0.05102049999999991
2024-07-15,1048419.5,-0.002474737647838458,0.04841950000000006
2024-07-16,1058421.5,0.009540074369086039,0.058421499999999904
2024-07-17,1062393.5,0.003752758234786425,0.06239349999999999
2024-07-18,1062205.5,-0.0001769589139993797,0.062205499999999914
2024-07-19,1059105.5,-0.0029184559861533386,0.05910550000000003
2024-07-22,1051028.5,-0.007626246865869359,0.05102849999999992
2024-07-23,1041836.5,-0.008745719074221107,0.041836500000000054
2024-07-24,1035115.7,-0.0064509162426158485,0.03511569999999997
2024-07-25,1037042.7,0.0018616276422046348,0.037042699999999984
2024-07-26,1034990.7,-0.0019787034805799223,0.03499070000000004
2024-07-29,1030428.7,-0.0044077690746399945,0.030428699999999864
2024-07-30,1027301.7,-0.0030346592636637548,0.027301699999999984
2024-07-31,1040519.7,0.012866716759059194,0.040519699999999936
2024-08-01,1039551.7,-0.0009303043469527776,0.039551699999999856
2024-08-02,1036493.7,-0.0029416526373820563,0.03649369999999985
2024-08-05,1037047.7,0.0005344943244710509,0.03704770000000002
2024-08-06,1037278.7,0.00022274770967622802,0.03727869999999989
2024-08-07,1032883.7,-0.004237048345830296,0.03288369999999996
2024-08-08,1033083.7,0.0001936326422810235,0.03308369999999994
2024-08-09,1031519.7,-0.0015139141194464689,0.03151970000000004
2024-08-12,1029814.7,-0.0016529010546284283,0.029814699999999972
2024-08-13,1025604.7,-0.004088114104411211,0.025604699999999925
2024-08-14,1024517.7,-0.0010598625376814284,0.024517699999999865
2024-08-15,1027720.7,0.0031263491104155643,0.02772069999999993
2024-08-16,1032047.7,0.004210287872960037,0.0320476999999999
2024-08-19,1028132.7,-0.0037934293153310647,0.02813270000000001
2024-08-20,1029764.7,0.0015873437349089277,0.029764699999999866
2024-08-21,1028491.7,-0.0012362047368685294,0.02849170000000001
2024-08-22,1036820.7,0.008098266617027634,0.03682070000000004
2024-08-23,1040186.7,0.0032464629612429614,0.04018670000000002
2024-08-26,1039398.7,-0.0007575563117659551,0.03939870000000001
2024-08-27,1040217.7,0.0007879555746991026,0.04021769999999991
2024-08-28,1042563.7,0.002255297136359053,0.04256369999999987
2024-08-29,1040386.7,-0.00208812180972731,0.0403867
2024-08-30,1039944.7,-0.00042484203229433825,0.039944699999999944
2024-09-02,1033086.7,-0.006594581423416073,0.03308669999999991
2024-09-03,1034977.7,0.0018304368839517535,0.0349777
2024-09-04,1032163.7,-0.002718899160822499,0.032163699999999906
2024-09-05,1033491.45,0.0012863754073118442,0.03349144999999987
2024-09-06,1026507.45,-0.006757675644051047,0.026507449999999988
2024-09-09,1025475.85,-0.001004961045338713,0.025475850000000078
2024-09-10,1025746.85,0.0002642675592994218,0.025746849999999988
2024-09-11,1023087.85,-0.002592257534107953,0.02308785000000002
2024-09-12,1020684.85,-0.002348771906537645,0.020684849999999866
2024-09-13,1020027.1499999999,-0.0006443712767952516,0.020027149999999994
2024-09-18,1023723.1499999999,0.003623432964504916,0.023723149999999915
2024-09-19,1023271.1499999999,-0.0004415256214534174,0.023271149999999796
2024-09-20,1025623.1499999999,0.002298511005611758,0.025623149999999928
2024-09-23,1030345.1499999999,0.004604030242492089,0.03034514999999982
2024-09-24,1061779.15,0.030508223385144292,0.061779150000000005
2024-09-25,1074929.75,0.012385438158208414,0.0749297499999999
2024-09-26,1089825.75,0.013857649767345262,0.08982574999999993
2024-09-27,1099739.15,0.009096316544181405,0.09973915
2024-09-30,1137599.15,0.0344263455565804,0.13759915
2024-10-08,1172780.15,0.03092565601864242,0.1727801499999999
2024-10-09,1131750.15,-0.03498524425059548,0.13175015
2024-10-10,1146129.15,0.012705101033121136,0.14612914999999993
2024-10-11,1134258.15,-0.010357471494377402,0.13425814999999997
2024-10-14,1141308.15,0.006215516282602863,0.14130814999999997
2024-10-15,1130678.15,-0.009313873733399697,0.13067814999999983
2024-10-16,1128209.8499999999,-0.002183026177697028,0.12820984999999996
2024-10-17,1120244.8499999999,-0.007059856816531074,0.12024484999999996
2024-10-18,1131744.8499999999,0.010265612914890884,0.1317448499999998
2024-10-21,1129985.8499999999,-0.0015542372470261298,0.12998584999999996
2024-10-22,1134369.8499999999,0.003879694599715563,0.1343698499999999
2024-10-23,1138657.8499999999,0.0037800722577385148,0.13865784999999975
2024-10-24,1128138.8499999999,-0.009238069188211368,0.1281388499999998
2024-10-25,1124392.8499999999,-0.0033205132506517266,0.12439284999999978
2024-10-28,1125648.8499999999,0.0011170473024619467,0.12564884999999992
2024-10-29,1121568.8499999999,-0.0036245761722228033,0.12156884999999984
2024-10-30,1116472.8499999999,-0.004543635462058349,0.11647284999999985
2024-10-31,1120519.8499999999,0.003624808252166634,0.12051984999999976
2024-11-01,1125520.8499999999,0.004463107012338961,0.1255208499999998
2024-11-04,1131783.8499999999,0.005564534855129517,0.13178384999999992
2024-11-05,1140174.8499999999,0.0074139598298738766,0.14017484999999996
2024-11-06,1133020.8499999999,-0.006274476234938878,0.13302084999999986
2024-11-07,1153068.8499999999,0.017694290444875752,0.15306884999999992
2024-11-08,1147983.7999999998,-0.0044100141981981795,0.14798379999999978
2024-11-11,1148277.7999999998,0.0002561011749468939,0.1482777999999998
2024-11-12,1146672.7999999998,-0.0013977453887900647,0.14667279999999971
2024-11-13,1147718.7999999998,0.0009122044230926208,0.14771879999999982
2024-11-14,1140163.7999999998,-0.006582622851520775,0.14016379999999984
2024-11-15,1132490.7999999998,-0.006729734797754499,0.1324907999999998
2024-11-18,1126728.5499999998,-0.005088120804160176,0.12672854999999972
2024-11-19,1120741.5499999998,-0.005313613469721701,0.12074154999999975
2024-11-20,1120713.5499999998,-2.498345849674263e-05,0.12071354999999984
2024-11-21,1119857.5499999998,-0.0007637990992435134,0.11985754999999987
2024-11-22,1106166.5499999998,-0.012225662094254758,0.10616654999999975
2024-11-25,1105059.9499999997,-0.0010003918487682469,0.10505994999999979
2024-11-26,1106819.9499999997,0.0015926737730382868,0.10681994999999977
2024-11-27,1109435.9499999997,0.0023635280516944067,0.10943594999999973
2024-11-28,1104267.9499999997,-0.004658222946534229,0.10426794999999967
2024-11-29,1109323.9499999997,0.004578598880824171,0.10932394999999961
2024-12-02,1120699.9499999997,0.01025489443367738,0.12069994999999967
2024-12-03,1121227.9499999997,0.000471134133627828,0.12122794999999975
2024-12-04,1115099.95,-0.005465436354846281,0.11509995000000006
